STATION,COM_CAPAC,X,Y
SYNDAL,337,145.149776,-37.876228
THOMASTOWN,395,145.014284,-37.680335
TOORONGA,189,145.041734,-37.84937
TOTTENHAM,237,144.862948,-37.799255
TYABB,20,145.186402,-38.259817
UPFIELD,165,144.946745,-37.666076
UPPER FERNTREE GULLY,308,145.307525,-37.892673
WATERGARDENS,712,144.774186,-37.701128
WATSONIA,498,145.083795,-37.710954
WATTLE GLEN,53,145.181619,-37.663966
WERRIBEE,602,144.661116,-37.899382
WEST FOOTSCRAY,410,144.885327,-37.801812
WESTALL,270,145.138834,-37.938492
WESTONA,78,144.813489,-37.865165
WILLIAMS LANDING,516,144.747446,-37.869868
WILLIAMSTOWN,13,144.905324,-37.867754
WILLIAMSTOWN BEACH,74,144.894487,-37.863982
YARRAMAN,255,145.191597,-37.978253
